Nueva Data
2016-4-27,17:36:11,Idle
2016-4-27,17:36:12,Go 1
2016-4-27,17:36:15,Go 2
2016-4-27,17:36:17,Go Plus
2016-4-27,17:36:17,Idle
2016-4-27,17:36:20,Go 1
2016-4-27,17:36:24,Go 2
2016-4-27,17:36:26,Go Plus
2016-4-27,17:36:36,Idle
2016-4-27,17:36:37,Go 1
2016-4-27,17:36:45,Go 2
2016-4-27,17:36:50,Go Plus
2016-4-27,17:36:53,Go 1
2016-4-27,17:36:57,Go 2
